ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio,total_entities
litecoin,2025-03-05,False,732.3370667965173,7,0.19144144144144143,264
litecoin,2025-03-13,False,752.3953715503516,7,0.1936193619361936,243
litecoin,2025-03-23,False,658.5496081310318,8,0.185589519650655,249
litecoin,2025-03-28,False,698.0906253845047,7,0.189520624303233,272
litecoin,2025-04-02,False,712.4939284504192,7,0.19409761634506242,269
litecoin,2025-04-06,False,713.7006209538974,7,0.19310344827586207,268
litecoin,2025-04-14,False,741.1975458437288,6,0.1937799043062201,267
litecoin,2025-04-21,False,743.3493225027073,7,0.19644970414201182,261
litecoin,2025-04-28,False,749.810661187058,6,0.19614921780986763,255
litecoin,2025-06-01,False,745.5850618751873,7,0.19157088122605365,246
litecoin,2025-06-07,False,751.4987847691061,6,0.19503105590062111,247
litecoin,2025-06-14,False,780.9344776277974,6,0.19974226804123713,234
litecoin,2025-07-23,False,810.7539143020037,5,0.20397350993377483,223
litecoin,2025-07-26,False,772.7859142358823,6,0.2050955414012739,234
litecoin,2025-08-02,False,834.6271318985902,5,0.21382842509603073,231
litecoin,2025-08-08,False,830.4195941808061,5,0.2120451693851945,237
litecoin,2025-08-15,False,828.6694179056723,5,0.21428571428571427,238
litecoin,2025-08-21,False,835.8177107148306,5,0.21481481481481482,241
litecoin,2025-08-28,False,846.0227134849089,5,0.21551724137931033,240
litecoin,2025-09-03,False,827.2682298168892,5,0.21668742216687423,243
litecoin,2025-09-10,False,855.4039518540685,5,0.21744627054361568,235
litecoin,2025-09-17,False,850.7798317849816,5,0.21679197994987467,237
litecoin,2025-09-24,False,864.0084305460216,5,0.2202970297029703,235
litecoin,2025-09-30,False,846.6811605385485,5,0.2201722017220172,243
litecoin,2025-10-07,False,813.4312812469329,6,0.21534653465346534,249
litecoin,2025-10-14,False,739.643347050755,6,0.19876543209876543,252
litecoin,2025-10-21,False,791.5336254053065,6,0.20149253731343283,241
litecoin,2025-10-28,False,780.8226960809202,6,0.19950433705080545,250
litecoin,2025-11-04,False,757.6772018340416,7,0.19682151589242053,252
litecoin,2025-11-11,False,789.8306392500286,6,0.20248447204968945,245
litecoin,2025-11-18,False,794.3612535037025,6,0.20100502512562815,247
litecoin,2025-11-26,False,756.6953788272515,7,0.19776119402985073,250
litecoin,2025-12-03,False,743.7204373642107,7,0.19951338199513383,255
litecoin,2025-12-10,False,740.4352970705198,7,0.19880239520958085,264
litecoin,2025-12-17,False,731.8699538638916,7,0.1948529411764706,258
litecoin,2025-12-24,False,754.8139370086932,7,0.20318237454100369,253
litecoin,2026-01-01,False,746.1560287113052,7,0.19901719901719903,254
litecoin,2026-01-08,False,741.1152497147517,7,0.20024570024570024,259
litecoin,2026-02-25,False,709.4924538197063,7,0.20916030534351146,216
litecoin,2026-03-24,False,658.4874270390188,8,0.2010943912448701,229
litecoin,2026-04-05,False,651.1716625676711,9,0.2022792022792023,240
litecoin,2026-04-17,False,664.6796897443339,9,0.2062146892655367,237
litecoin,2026-04-23,False,664.6796897443339,9,0.2062146892655367,232
litecoin,2026-05-25,False,592.1536360771705,11,0.1923076923076923,234
litecoin,2026-05-31,False,632.2043252204703,10,0.1973094170403587,225
litecoin,2026-06-14,False,613.0856607945215,10,0.1921331316187594,224
litecoin,2026-06-27,False,684.400548696843,8,0.2059259259259259,216
litecoin,2026-07-07,False,693.3958295775512,8,0.2108527131782946,216
